vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.615 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2905,316.223,7.47656,vmcache,32,1000,tpcc,2048,94.4465,0.748289,207,85331,39380018,1,2585.79
1,3678,327.863,0,vmcache,32,1000,tpcc,2048,94.9523,0.996035,286,0,0,1,0
2,3565,291.281,10.332,vmcache,32,1000,tpcc,2048,94.7218,1.54063,251,54252,2645,1,2583.43
3,3853,286.492,9.43359,vmcache,32,1000,tpcc,2048,94.519,2.06581,366,51615,2415,1,2580.75
4,4182,291.914,0,vmcache,32,1000,tpcc,2048,94.8782,2.33335,280,7745,0,1,2581.67
5,3862,271.566,4.47266,vmcache,32,1000,tpcc,2048,94.5827,2.89027,363,58912,1145,1,2561.39
6,4469,278.883,6.48047,vmcache,32,1000,tpcc,2048,94.9994,3.09998,381,0,1659,1,0
7,4475,276.289,0,vmcache,32,1000,tpcc,2048,94.7607,3.64386,401,56022,0,1,2546.45
8,4858,271.715,8.22656,vmcache,32,1000,tpcc,2048,94.4669,4.19637,427,58291,2106,1,2534.39
9,5684,289.527,0,vmcache,32,1000,tpcc,2048,94.9234,4.4146,420,0,0,1,0
10,5218,247.551,6.02734,vmcache,32,1000,tpcc,2048,94.4821,5.00822,376,68405,1543,1,2533.52
11,6308,286.035,0,vmcache,32,1000,tpcc,2048,94.9354,5.22436,425,0,0,1,0
12,5760,262.117,7.07031,vmcache,32,1000,tpcc,2048,94.6168,5.77908,438,59710,1810,1,2487.92
13,5790,258.035,5.40234,vmcache,32,1000,tpcc,2048,94.504,6.22681,474,42469,1383,1,2498.18
14,6493,269.359,0,vmcache,32,1000,tpcc,2048,94.6962,6.54911,430,20098,0,1,2512.25
15,6519,250.289,4.67578,vmcache,32,1000,tpcc,2048,94.3126,7.12346,443,64834,1197,1,2493.62
16,7479,279.801,0,vmcache,32,1000,tpcc,2048,94.7604,7.33527,482,0,0,1,0
17,6700,260.016,4.08203,vmcache,32,1000,tpcc,2048,94.4239,7.90226,442,62030,1045,1,2481.2
