vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=0,batch_sz=1,mode=0] exmap:0
space: 180.625 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,2926,320.246,162.734,vmcache,32,1000,tpcc,1,94.9921,0.247067,250,588,39421821,1,1,11560,456778480,33554432
1,3503,310.074,155.59,vmcache,32,1000,tpcc,1,94.9923,0.484878,278,526,39542,1,1,10682,379133042,33554432
2,3686,298.98,148.258,vmcache,32,1000,tpcc,1,94.9927,0.714815,281,515,38037,1,1,11226,472848446,33554432
3,4002,292.629,146.164,vmcache,32,1000,tpcc,1,94.9976,0.938749,333,558,37112,1,1,11136,427750804,33554432
4,4024,283.656,138.129,vmcache,32,1000,tpcc,1,94.9981,1.15635,312,516,36334,1,1,9800,408347756,33554432
5,3878,277.504,142.504,vmcache,32,1000,tpcc,1,94.985,1.37056,333,523,36481,1,1,9710,450468850,33554432
6,4265,275.074,137.215,vmcache,32,1000,tpcc,1,94.9889,1.58135,369,456,35127,1,1,9752,465568876,33554432
7,4644,273.512,138.941,vmcache,32,1000,tpcc,1,94.9891,1.7895,386,444,35569,1,1,10944,421232354,33554432
8,4787,271.113,136.078,vmcache,32,1000,tpcc,1,94.9954,1.99584,398,467,34836,1,1,10614,414838366,33554432
9,5027,268.492,134.996,vmcache,32,1000,tpcc,1,94.9994,2.20163,369,548,34559,1,1,10862,378583570,33554432
10,5546,266.734,136.82,vmcache,32,1000,tpcc,1,94.998,2.40551,381,513,35026,1,1,10172,396206482,33554432
11,5813,264.445,137.426,vmcache,32,1000,tpcc,1,94.9914,2.60825,401,560,35181,1,1,10142,352447018,33554432
12,5623,263.578,137.582,vmcache,32,1000,tpcc,1,94.9932,2.80973,411,495,34501,1,1,11142,324633596,33554432
13,5972,263.91,132.254,vmcache,32,1000,tpcc,1,94.9997,3.00957,441,450,34577,1,1,10828,358017198,33554432
14,6124,262.238,139.074,vmcache,32,1000,tpcc,1,94.9962,3.20979,439,515,34945,1,1,9628,348567534,16777216
15,6564,260.516,135.469,vmcache,32,1000,tpcc,1,94.992,3.41035,413,522,34700,1,1,9838,324518166,16777216
16,6778,258.84,132.363,vmcache,32,1000,tpcc,1,94.9922,3.60739,433,462,34523,1,1,9646,320733038,16777216
17,6784,259.738,132.84,vmcache,32,1000,tpcc,1,94.998,3.80636,437,477,34007,1,1,9964,350873578,16777216
18,7349,256.254,133.777,vmcache,32,1000,tpcc,1,94.9967,4.0029,396,478,34247,1,1,10330,336204898,16777216
19,7075,257.898,132.988,vmcache,32,1000,tpcc,1,95.0001,4.20108,422,530,33908,1,1,10628,297802200,16777216
20,7401,255.625,135.703,vmcache,32,1000,tpcc,1,94.9955,4.3947,420,479,34877,1,1,10178,358219872,16777216
21,7667,257.27,134.535,vmcache,32,1000,tpcc,1,94.994,4.59213,436,517,34441,1,1,9700,343414634,16777216
22,7970,255.48,136.883,vmcache,32,1000,tpcc,1,94.999,4.78728,406,430,33859,1,1,10682,277733578,16777216
23,7952,255.57,136.047,vmcache,32,1000,tpcc,1,94.9931,4.98002,402,505,35268,1,1,10034,282474064,16777216
24,8523,254.895,130.875,vmcache,32,1000,tpcc,1,94.9932,5.17529,420,521,34247,1,1,9968,274892272,16777216
25,8722,254.961,133.715,vmcache,32,1000,tpcc,1,94.9924,5.37108,440,518,34231,1,1,10346,280445632,16777216
26,8699,253.742,136.184,vmcache,32,1000,tpcc,1,94.9906,5.56569,432,534,34239,1,1,9624,328469746,16777216
27,9405,253.832,127.543,vmcache,32,1000,tpcc,1,94.9998,5.76167,422,492,33275,1,1,10230,268507190,16777216
28,9201,253.477,136.539,vmcache,32,1000,tpcc,1,95.0002,5.95546,437,515,34292,1,1,9080,258768674,16777216
29,9846,251.641,135.863,vmcache,32,1000,tpcc,1,94.9916,6.14724,407,475,35018,1,1,9018,291804182,16777216
30,10175,251.926,132.492,vmcache,32,1000,tpcc,1,94.9964,6.3405,380,500,33759,1,1,10000,242447188,16777216
31,10414,251.688,132.844,vmcache,32,1000,tpcc,1,94.9904,6.53434,396,533,34592,1,1,9814,261441830,16777216
32,10669,251.461,134.191,vmcache,32,1000,tpcc,1,94.9924,6.72795,380,475,33971,1,1,9524,262257242,16777216
33,11252,251.719,134.93,vmcache,32,1000,tpcc,1,94.9932,6.92071,370,539,34324,1,1,10010,226396022,16777216
34,11136,251.578,130.25,vmcache,32,1000,tpcc,1,94.9968,7.11408,374,488,33944,1,1,9522,254622182,16777216
35,11575,251.484,138.387,vmcache,32,1000,tpcc,1,94.9928,7.30788,355,588,34683,1,1,9840,254048860,16777216
36,12084,249.375,132.742,vmcache,32,1000,tpcc,1,94.9882,7.49831,334,512,34726,1,1,9752,204601234,16777216
37,12387,248.738,134.406,vmcache,32,1000,tpcc,1,94.9938,7.68884,325,547,33829,1,1,9614,214328466,16777216
38,12617,248.84,130.262,vmcache,32,1000,tpcc,1,94.9993,7.87922,296,510,33926,1,1,8844,201754716,16777216
39,13283,248.555,137.812,vmcache,32,1000,tpcc,1,94.9927,8.07064,305,580,34829,1,1,9744,180336342,8388608
40,13411,249.23,132.758,vmcache,32,1000,tpcc,1,94.9943,8.26153,283,528,34437,1,1,9466,166288944,8388608
41,14053,247.957,133.203,vmcache,32,1000,tpcc,1,94.9989,8.45203,257,601,34100,1,1,8360,128025212,8388608
42,13906,248.473,134.305,vmcache,32,1000,tpcc,1,94.9987,8.64337,248,551,34382,1,1,9262,169284032,8388608
43,14200,242.734,131.191,vmcache,32,1000,tpcc,1,94.9996,8.83089,242,536,33585,1,1,9538,158088148,8388608
44,14555,242.109,135.461,vmcache,32,1000,tpcc,1,94.9856,9.01841,223,593,34678,1,1,8308,190527654,8388608
45,14552,242.91,128.223,vmcache,32,1000,tpcc,1,94.9981,9.20532,223,566,32825,1,1,9964,232472662,8388608
46,14902,241.793,133.852,vmcache,32,1000,tpcc,1,94.9993,9.39111,203,576,33795,1,1,9468,153484492,8388608
47,15363,240.953,134.305,vmcache,32,1000,tpcc,1,94.9907,9.57587,178,530,34559,1,1,8214,91002584,8388608
48,15390,242.469,127.801,vmcache,32,1000,tpcc,1,94.9994,9.76438,181,551,33011,1,1,8914,125588542,8388608
49,15917,242.203,132.906,vmcache,32,1000,tpcc,1,94.9969,9.95174,157,535,34024,1,1,8798,113375726,8388608
50,16223,241.465,134.039,vmcache,32,1000,tpcc,1,94.9919,10.1383,168,526,34314,1,1,9172,122772566,8388608
51,16241,242.047,130.594,vmcache,32,1000,tpcc,1,94.9953,10.3267,145,566,33432,1,1,9638,133520412,8388608
52,16393,240.078,131.891,vmcache,32,1000,tpcc,1,94.996,10.5117,149,565,33764,1,1,9128,168375356,8388608
53,16502,242.023,133.285,vmcache,32,1000,tpcc,1,94.9931,10.6997,135,653,34121,1,1,9484,125997058,8388608
54,17111,241.438,133.383,vmcache,32,1000,tpcc,1,94.9926,10.8857,148,596,34146,1,1,9840,80311746,8388608
55,17056,242.469,133.695,vmcache,32,1000,tpcc,1,94.9917,11.0731,136,613,34226,1,1,9118,86834980,8388608
56,17156,242.539,136.336,vmcache,32,1000,tpcc,1,94.992,11.2605,195,541,34227,1,1,9436,84725892,8388608
57,17374,240.93,134.031,vmcache,32,1000,tpcc,1,94.9886,11.4461,166,552,34446,1,1,8672,77140724,8388608
58,17585,240.918,130.996,vmcache,32,1000,tpcc,1,94.9897,11.6331,150,604,33857,1,1,9306,81655626,8388608
59,17793,241.633,130.105,vmcache,32,1000,tpcc,1,94.9968,11.8205,165,631,33526,1,1,9310,85703764,8388608
60,17643,240.453,134.184,vmcache,32,1000,tpcc,1,94.9945,12.0066,181,587,34351,1,1,7372,78231920,8388608
61,18369,240.598,133.656,vmcache,32,1000,tpcc,1,94.9941,12.1931,165,523,34136,1,1,9196,81121234,8388608
62,18107,240.703,136.957,vmcache,32,1000,tpcc,1,94.9917,12.379,153,635,34411,1,1,8740,80869192,8388608
63,18543,239.957,132.488,vmcache,32,1000,tpcc,1,94.9907,12.5642,176,639,34409,1,1,8790,78001752,8388608
64,18426,240.961,132.656,vmcache,32,1000,tpcc,1,94.9917,12.7513,185,606,34198,1,1,9132,78986474,8388608
65,18284,240.168,138.129,vmcache,32,1000,tpcc,1,94.9858,12.9366,156,576,34962,1,1,9250,82327168,8388608
66,18978,241.039,129.008,vmcache,32,1000,tpcc,1,94.9964,13.1238,156,595,33425,1,1,8636,82448124,8388608
