vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=64,mode=1] exmap:0
space: 180.618 GB 
Switching to workload ratios: dr=1 dw=1 nr=1 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,3365,358.633,0,vmcache,32,1000,tpcc,64,94.9982,0.548321,1030,1182,39378712,1,73.875,10154,327750400,33554432
1,3761,331.359,0,vmcache,32,1000,tpcc,64,94.9928,1.05711,1169,1700,0,1,73.913,9906,364844928,33554432
2,4272,321.289,0,vmcache,32,1000,tpcc,64,94.9907,1.54936,1261,1597,0,1,76.0476,9794,358479628,33554432
3,4038,307.184,0,vmcache,32,1000,tpcc,64,94.9923,2.01846,1429,1493,0,1,74.65,11270,348734470,33554432
4,4281,297.418,0,vmcache,32,1000,tpcc,64,94.9913,2.47454,1254,1632,0,1,74.1818,11466,370329374,33554432
5,4420,293.988,0,vmcache,32,1000,tpcc,64,94.9893,2.92628,1408,1937,0,1,74.5,10926,345608198,33554432
6,4846,290.684,0,vmcache,32,1000,tpcc,64,94.9888,3.373,1484,2017,0,1,74.7037,10074,359549214,16777216
7,4948,288.297,0,vmcache,32,1000,tpcc,64,94.9959,3.81273,1631,1600,0,1,72.7273,10090,354310430,16777216
8,5190,286.531,0,vmcache,32,1000,tpcc,64,94.9972,4.25336,1488,2062,0,1,71.1034,10958,334714666,16777216
9,6086,283.777,0,vmcache,32,1000,tpcc,64,94.9953,4.69244,1434,2451,0,1,72.0882,9594,337866956,16777216
10,5801,281.691,0,vmcache,32,1000,tpcc,64,94.9947,5.12806,1547,2520,0,1,74.1176,10144,285257406,16777216
11,6189,280.184,0,vmcache,32,1000,tpcc,64,94.9919,5.56346,1571,2894,0,1,74.2051,10784,307683532,16777216
12,6349,279.633,0,vmcache,32,1000,tpcc,64,94.9954,5.99523,1548,2399,0,1,72.697,10848,301699096,16777216
13,6578,277.957,0,vmcache,32,1000,tpcc,64,94.9997,6.42434,1661,2498,0,1,75.697,10552,282209580,16777216
14,7168,275.789,0,vmcache,32,1000,tpcc,64,94.9896,6.85868,1487,3754,0,1,75.08,9552,260679870,16777216
15,7176,277.543,0,vmcache,32,1000,tpcc,64,94.9979,7.28649,1536,2260,0,1,72.9032,10200,262409524,16777216
16,7499,275.078,0,vmcache,32,1000,tpcc,64,94.9871,7.72098,1502,3977,0,1,73.6481,10022,271368412,16777216
17,8120,274.031,0,vmcache,32,1000,tpcc,64,94.9897,8.1475,1397,2803,0,1,73.7632,10038,257752336,16777216
18,8007,272.824,0,vmcache,32,1000,tpcc,64,94.991,8.57308,1405,2962,0,1,74.05,8624,252414434,16777216
19,7935,273.223,0,vmcache,32,1000,tpcc,64,94.9931,8.99843,1455,2874,0,1,73.6923,9462,272547594,16777216
20,8747,271.824,0,vmcache,32,1000,tpcc,64,94.9998,9.42041,1402,2613,0,1,74.6571,9658,240098110,16777216
21,8593,270.422,0,vmcache,32,1000,tpcc,64,94.9905,9.8485,1369,3960,0,1,73.3333,10398,233236808,16777216
22,9150,270.555,0,vmcache,32,1000,tpcc,64,94.9935,10.271,1279,2903,0,1,72.575,10048,221279080,16777216
23,9129,269.762,0,vmcache,32,1000,tpcc,64,95.0001,10.6902,1403,2683,0,1,74.5278,9012,219288524,16777216
24,9514,268.938,0,vmcache,32,1000,tpcc,64,94.9887,11.118,1398,4317,0,1,75.7368,9936,214975508,16777216
25,10072,269.473,0,vmcache,32,1000,tpcc,64,94.9892,11.5415,1346,3411,0,1,74.1522,9454,240061788,16777216
26,10129,268.16,0,vmcache,32,1000,tpcc,64,94.994,11.9609,1342,3051,0,1,74.4146,8428,209369590,16777216
27,10961,267.121,0,vmcache,32,1000,tpcc,64,94.9914,12.3833,1168,3655,0,1,74.5918,8434,192001682,16777216
28,11151,267.406,0,vmcache,32,1000,tpcc,64,94.9952,12.8034,1169,3188,0,1,72.4545,9488,213227366,16777216
29,11371,267.301,0,vmcache,32,1000,tpcc,64,94.9994,13.2232,1192,3201,0,1,74.4419,8576,212242914,16777216
30,12083,266.914,0,vmcache,32,1000,tpcc,64,94.9856,13.6523,1075,4734,0,1,72.8308,8250,185562670,16777216
31,12309,267.5,0,vmcache,32,1000,tpcc,64,94.9887,14.0742,1077,3375,0,1,75,8990,177382198,8388608
32,12563,265.148,0,vmcache,32,1000,tpcc,64,94.9942,14.4912,1083,3176,0,1,72.1818,9174,193380928,8388608
33,13007,266.605,0,vmcache,32,1000,tpcc,64,94.9998,14.9116,1028,3296,0,1,73.2444,9162,167638380,8388608
34,13467,264.148,0,vmcache,32,1000,tpcc,64,94.9866,15.338,872,4789,0,1,74.8281,9380,165416810,8388608
35,13791,264.375,0,vmcache,32,1000,tpcc,64,94.995,15.7542,885,3034,0,1,74,9266,155697242,8388608
36,14645,262.332,0,vmcache,32,1000,tpcc,64,94.9838,16.1782,745,4723,0,1,72.6615,9186,136404770,8388608
37,15056,264.129,0,vmcache,32,1000,tpcc,64,94.9901,16.5968,759,3382,0,1,73.5217,8922,175376168,8388608
38,15427,263.664,0,vmcache,32,1000,tpcc,64,94.9988,17.0142,669,3192,0,1,72.5455,8878,138580634,8388608
39,15461,262.309,0,vmcache,32,1000,tpcc,64,94.9796,17.443,695,5488,0,1,73.1733,8488,161019692,8388608
40,16103,263.109,0,vmcache,32,1000,tpcc,64,94.9911,17.8589,647,3064,0,1,72.9524,8472,133501150,8388608
41,16624,262.902,0,vmcache,32,1000,tpcc,64,94.9959,18.2779,625,3622,0,1,72.44,9366,162471894,8388608
42,16431,257.527,0,vmcache,32,1000,tpcc,64,94.9873,18.696,582,4798,0,1,71.6119,8336,153618448,8388608
43,16767,255.812,0,vmcache,32,1000,tpcc,64,95.0001,19.1007,525,2949,0,1,73.725,6976,107021658,8388608
44,17176,254.758,0,vmcache,32,1000,tpcc,64,94.9915,19.5153,532,4862,0,1,73.6667,8090,104748230,8388608
