vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=0,batch_sz=1,mode=0] exmap:0
space: 0.000663757 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,118347162,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,188,1642034,512
1,126314660,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,6260068,512
2,124496382,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,232,4183764,512
3,124119366,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,238,10015988,10015988
4,123979102,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,236,5826876,5826876
5,124121302,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,3793262,3793262
6,124153512,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,230,3759766,3759766
7,123898284,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,5758374,5758374
8,124148157,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,232,2685716,2685716
9,124057355,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,2858586,512
10,124130106,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,246,4884498,4884498
11,124119885,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,2149928,512
12,123957125,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,236,4160068,4160068
13,124084410,0,0,vmcache,32,1000,rndread,1,0.00207424,0,0,0,0,0,0,234,1052774,1052774
