vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=256,mode=2] exmap:0
space: 180.625 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=0.5
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,2968,326.137,35.2578,vmcache,32,1000,tpcc,256,95.0003,0.444615,246,33242,39389501,1,304.972,12422,424597770,67108864
1,3466,304.477,33.1406,vmcache,32,1000,tpcc,256,94.9729,0.874728,253,33701,8151,1,303.613,10834,418685654,67108864
2,3728,307.199,30.9727,vmcache,32,1000,tpcc,256,94.9768,1.29209,318,31063,8405,1,310.63,9612,403339154,33554432
3,3970,292.465,36.6211,vmcache,32,1000,tpcc,256,94.9737,1.68561,332,29007,9294,1,305.337,9170,396150246,33554432
4,4107,279.301,25.25,vmcache,32,1000,tpcc,256,94.9553,2.08362,302,31386,6545,1,304.718,11006,402281428,33554432
5,3808,278.426,29.1289,vmcache,32,1000,tpcc,256,94.9563,2.46516,332,28758,7457,1,305.936,10936,521806672,33554432
6,4375,278.535,25.6367,vmcache,32,1000,tpcc,256,94.9942,2.83439,379,26398,6563,1,306.953,8648,485558718,33554432
7,4513,272.602,29.1914,vmcache,32,1000,tpcc,256,94.9793,3.21628,388,29266,7473,1,308.063,10828,430825422,33554432
8,4744,268.812,25.625,vmcache,32,1000,tpcc,256,94.9722,3.59423,415,29571,6560,1,311.274,9828,397069854,33554432
9,5320,267.098,29.1914,vmcache,32,1000,tpcc,256,94.9564,3.96949,420,28770,7473,1,306.064,9700,386136580,16777216
10,5506,266.465,25.9648,vmcache,32,1000,tpcc,256,94.9655,4.33698,395,27850,6647,1,306.044,10304,369277628,16777216
11,5763,261.262,28.0234,vmcache,32,1000,tpcc,256,94.9847,4.69314,422,26804,6440,1,308.092,10164,396270568,16777216
12,5759,264.594,21.2656,vmcache,32,1000,tpcc,256,94.999,5.05896,424,27956,6178,1,307.209,10204,377644462,16777216
13,5934,260.945,37.5273,vmcache,32,1000,tpcc,256,94.964,5.42365,442,28240,9607,1,303.656,9836,360699132,16777216
14,6116,260.418,25.543,vmcache,32,1000,tpcc,256,94.9626,5.78945,459,28606,6539,1,307.591,8398,412407390,16777216
15,6690,260.152,24.5391,vmcache,32,1000,tpcc,256,94.9765,6.14986,505,27651,6282,1,307.233,9920,396889234,16777216
16,6801,253.434,23.2227,vmcache,32,1000,tpcc,256,94.9407,6.52704,422,31240,5945,1,303.301,9798,345155226,16777216
17,6834,257.469,24.2734,vmcache,32,1000,tpcc,256,94.9495,6.88689,428,27711,6214,1,304.516,9510,313466772,16777216
18,7479,254.98,26.1328,vmcache,32,1000,tpcc,256,94.9357,7.2521,418,29221,6690,1,304.385,9186,329107004,16777216
19,7335,258.789,26.5117,vmcache,32,1000,tpcc,256,94.9536,7.60641,464,26818,6787,1,304.75,9630,312513790,16777216
20,7491,259.07,29.25,vmcache,32,1000,tpcc,256,94.9848,7.95075,416,25032,7488,1,305.268,9734,392671148,16777216
21,8093,255.191,17.9297,vmcache,32,1000,tpcc,256,94.9807,8.32465,416,30383,4590,1,300.822,9368,328495644,16777216
22,8007,254.543,27.2617,vmcache,32,1000,tpcc,256,94.9871,8.68203,439,27720,6313,1,298.065,9836,337188578,16777216
23,7968,254.242,23.4102,vmcache,32,1000,tpcc,256,94.918,9.07481,406,33904,6659,1,305.441,9982,302767538,16777216
24,8899,254.977,20.4531,vmcache,32,1000,tpcc,256,94.9697,9.41768,408,25194,5236,1,303.542,9832,288931574,16777216
25,8903,256.703,26.0352,vmcache,32,1000,tpcc,256,94.9988,9.766,392,26044,6665,1,302.837,9190,315899546,16777216
26,8925,252.723,31.5703,vmcache,32,1000,tpcc,256,94.9548,10.1362,422,30241,8082,1,302.41,9930,332464730,16777216
27,9517,256.219,18.8555,vmcache,32,1000,tpcc,256,94.991,10.4922,431,27472,4827,1,298.609,10012,249652820,16777216
28,9388,250.75,30.6641,vmcache,32,1000,tpcc,256,94.972,10.8494,443,28151,7850,1,302.699,10094,311410106,16777216
29,10432,250.332,24.9023,vmcache,32,1000,tpcc,256,94.9589,11.2128,418,29389,6375,1,299.888,8974,239281006,16777216
30,10564,252.074,25.6289,vmcache,32,1000,tpcc,256,94.9747,11.5633,399,27062,6561,1,304.067,9696,263136332,16777216
31,10641,249.258,23.0898,vmcache,32,1000,tpcc,256,94.9491,11.9344,398,30626,5911,1,294.481,8542,261270990,16777216
32,11188,251.605,25.3984,vmcache,32,1000,tpcc,256,94.986,12.2752,423,24842,6502,1,299.301,9528,349742404,16777216
33,11611,252.816,23.2383,vmcache,32,1000,tpcc,256,94.9941,12.6358,386,28491,5949,1,299.905,9342,313337080,16777216
34,11784,252.371,28.8281,vmcache,32,1000,tpcc,256,94.9938,12.9924,409,28128,7224,1,299.234,8678,288194304,16777216
35,11954,249.23,24.9531,vmcache,32,1000,tpcc,256,94.9752,13.358,394,29998,6544,1,297.01,9144,287743030,16777216
36,12456,250.32,24.0781,vmcache,32,1000,tpcc,256,94.9566,13.728,337,30306,6164,1,294.233,9742,180794972,16777216
37,12932,250.594,26.4102,vmcache,32,1000,tpcc,256,94.9835,14.0724,334,26256,6761,1,295.011,9384,207337720,16777216
38,13348,246.227,28.7188,vmcache,32,1000,tpcc,256,94.9491,14.4383,320,29938,7352,1,296.416,10046,230460746,8388608
39,13545,248.484,23.3672,vmcache,32,1000,tpcc,256,94.972,14.7871,284,26980,5982,1,296.484,9580,236964252,8388608
40,14288,249.93,25.3633,vmcache,32,1000,tpcc,256,94.9855,15.1411,268,27749,6493,1,298.376,9092,233923654,8388608
41,14243,241.172,24.5977,vmcache,32,1000,tpcc,256,94.9885,15.4875,248,27613,6297,1,296.914,7866,252256368,8388608
42,14271,242.527,25.4375,vmcache,32,1000,tpcc,256,94.9832,15.8393,231,28234,6512,1,297.2,8262,214775650,8388608
43,14707,241.402,24.7812,vmcache,32,1000,tpcc,256,94.9922,16.1838,265,27293,6344,1,293.473,8534,170922626,8388608
