vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3246 GB 
Switching to workload ratios: dr=1 dw=1 nr=1 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,3537,294.719,303.828,vmcache,32,500,tpcc,1,94.9927,0,0,0,15785055,0,0,8882,411265018,33554432
1,4699,276.098,269.605,vmcache,32,500,tpcc,1,94.9954,0,0,0,70679,0,0,8292,449947934,33554432
2,5135,263.828,270.73,vmcache,32,500,tpcc,1,94.9806,0,0,0,69233,0,0,9172,395491076,33554432
3,5620,262.156,266.215,vmcache,32,500,tpcc,1,94.9818,0,0,0,67683,0,0,8428,423213832,33554432
4,6302,255.574,257.988,vmcache,32,500,tpcc,1,94.9797,0,0,0,66587,0,0,7610,372258222,33554432
5,6774,249.387,247.438,vmcache,32,500,tpcc,1,94.9997,0,0,0,63344,0,0,8304,329148784,33554432
6,7249,244.59,254.453,vmcache,32,500,tpcc,1,94.9853,0,0,0,65140,0,0,7380,351976774,33554432
7,8034,242.809,246.543,vmcache,32,500,tpcc,1,94.9936,0,0,0,63115,0,0,7714,339814178,16777216
8,8292,240.539,247.176,vmcache,32,500,tpcc,1,94.9932,0,0,0,63277,0,0,7820,286077572,16777216
9,8904,238.457,246.43,vmcache,32,500,tpcc,1,94.9911,0,0,0,63086,0,0,8322,295780414,16777216
10,9707,238.094,245.539,vmcache,32,500,tpcc,1,94.9924,0,0,0,62858,0,0,8450,263211766,16777216
11,10110,237.301,251.297,vmcache,32,500,tpcc,1,94.987,0,0,0,63326,0,0,8402,266172268,16777216
12,10876,237.066,243.035,vmcache,32,500,tpcc,1,94.9916,0,0,0,62542,0,0,8170,267260068,16777216
13,11389,235.234,244.633,vmcache,32,500,tpcc,1,94.9844,0,0,0,63228,0,0,7730,248161168,16777216
14,12367,233.668,242.438,vmcache,32,500,tpcc,1,94.9882,0,0,0,62143,0,0,8818,271979924,16777216
15,12658,232.941,244.402,vmcache,32,500,tpcc,1,94.9854,0,0,0,62487,0,0,7288,247774852,16777216
16,13850,234.52,241.172,vmcache,32,500,tpcc,1,94.9983,0,0,0,61820,0,0,7974,218394252,16777216
17,14623,230.777,242.402,vmcache,32,500,tpcc,1,94.9985,0,0,0,62055,0,0,8188,255237822,16777216
18,15712,229.969,250.602,vmcache,32,500,tpcc,1,94.9972,0,0,0,62242,0,0,7312,169327966,16777216
19,16434,230.898,242.887,vmcache,32,500,tpcc,1,94.9801,0,0,0,64008,0,0,8196,212332614,16777216
20,16937,230.141,242.555,vmcache,32,500,tpcc,1,94.9834,0,0,0,62177,0,0,7740,154777690,16777216
21,17747,229.223,241.293,vmcache,32,500,tpcc,1,94.99,0,0,0,61771,0,0,8142,181126032,16777216
22,18643,228.277,245.68,vmcache,32,500,tpcc,1,94.982,0,0,0,62894,0,0,7736,91834752,8388608
23,18888,229.535,239.004,vmcache,32,500,tpcc,1,95.0004,0,0,0,61185,0,0,7988,73811350,8388608
24,19302,229.172,247.523,vmcache,32,500,tpcc,1,94.9931,0,0,0,63366,0,0,7046,78755482,8388608
25,19704,229.633,245.398,vmcache,32,500,tpcc,1,94.994,0,0,0,62822,0,0,7578,75564968,8388608
26,19923,228.348,243.352,vmcache,32,500,tpcc,1,94.9985,0,0,0,62298,0,0,8060,80766124,8388608
27,20422,228.5,245.277,vmcache,32,500,tpcc,1,94.9991,0,0,0,62791,0,0,7644,68975296,8388608
28,20483,226.938,246.539,vmcache,32,500,tpcc,1,94.9922,0,0,0,63114,0,0,7832,86434624,8388608
29,20811,225.918,249.23,vmcache,32,500,tpcc,1,94.9801,0,0,0,63432,0,0,7726,81876140,8388608
30,21676,228.098,239.418,vmcache,32,500,tpcc,1,94.9994,0,0,0,61662,0,0,7526,71232522,8388608
31,21813,228.848,252.043,vmcache,32,500,tpcc,1,94.9885,0,0,0,64523,0,0,7496,72912720,8388608
32,22039,227.332,251.355,vmcache,32,500,tpcc,1,94.988,0,0,0,63295,0,0,7738,76709026,8388608
33,22031,227.598,239.953,vmcache,32,500,tpcc,1,95.0004,0,0,0,62413,0,0,7714,76767880,8388608
34,22247,226.188,250.574,vmcache,32,500,tpcc,1,94.9874,0,0,0,64214,0,0,7710,85574370,8388608
35,22103,226.094,250.148,vmcache,32,500,tpcc,1,94.9942,0,0,0,62451,0,0,6166,74132532,8388608
36,23449,227.188,247.879,vmcache,32,500,tpcc,1,94.985,0,0,0,64155,0,0,7618,80650298,8388608
37,23074,226.547,246.184,vmcache,32,500,tpcc,1,94.988,0,0,0,62919,0,0,7804,74395228,8388608
38,23747,227.859,240.566,vmcache,32,500,tpcc,1,94.999,0,0,0,62578,0,0,8378,77703052,8388608
39,23672,225.172,251.059,vmcache,32,500,tpcc,1,94.9861,0,0,0,63844,0,0,7396,76146558,8388608
40,24445,227.527,241.695,vmcache,32,500,tpcc,1,94.9994,0,0,0,62301,0,0,6860,75248094,8388608
41,24789,226.469,250.707,vmcache,32,500,tpcc,1,94.988,0,0,0,64181,0,0,7558,77622132,8388608
42,24928,225.629,249.984,vmcache,32,500,tpcc,1,94.9837,0,0,0,63430,0,0,7114,89514088,8388608
43,25045,226.746,243.102,vmcache,32,500,tpcc,1,94.9921,0,0,0,62800,0,0,7152,72972144,8388608
44,24449,221.344,244.484,vmcache,32,500,tpcc,1,94.9868,0,0,0,62588,0,0,7138,79807060,8388608
45,25547,222.715,240.004,vmcache,32,500,tpcc,1,95.0004,0,0,0,61441,0,0,7464,78149650,8388608
46,24960,220.418,251.688,vmcache,32,500,tpcc,1,94.9862,0,0,0,63355,0,0,7512,70036152,8388608
47,25716,222.473,236.391,vmcache,32,500,tpcc,1,95.0002,0,0,0,61593,0,0,7152,71288926,8388608
48,25810,220.73,244.133,vmcache,32,500,tpcc,1,94.9987,0,0,0,62498,0,0,7340,78595258,8388608
49,26333,221.027,250.516,vmcache,32,500,tpcc,1,94.9852,0,0,0,63736,0,0,7844,71566702,8388608
50,26459,221.992,239.449,vmcache,32,500,tpcc,1,94.9978,0,0,0,61695,0,0,7674,70692648,8388608
51,26514,220.844,244.312,vmcache,32,500,tpcc,1,94.9982,0,0,0,62544,0,0,7708,76177344,8388608
52,27448,221.691,247.59,vmcache,32,500,tpcc,1,94.992,0,0,0,63383,0,0,7866,79003544,8388608
53,27325,220.086,244.66,vmcache,32,500,tpcc,1,94.9888,0,0,0,62633,0,0,7320,71931812,8388608
54,27532,221.242,242.051,vmcache,32,500,tpcc,1,94.9954,0,0,0,61965,0,0,7744,77073538,8388608
55,27671,221.211,243.855,vmcache,32,500,tpcc,1,94.9985,0,0,0,62427,0,0,6852,83786284,8388608
56,28412,220.219,244.168,vmcache,32,500,tpcc,1,94.9985,0,0,0,62507,0,0,7092,80502240,8388608
57,27902,219.477,246.703,vmcache,32,500,tpcc,1,94.9897,0,0,0,63156,0,0,6296,77797904,8388608
58,28401,221.09,243.457,vmcache,32,500,tpcc,1,94.9965,0,0,0,62325,0,0,7176,75780916,8388608
59,28763,219.629,252.055,vmcache,32,500,tpcc,1,94.984,0,0,0,63700,0,0,7144,72819082,8388608
60,29347,221.152,246.734,vmcache,32,500,tpcc,1,94.9871,0,0,0,62840,0,0,6962,76055498,8388608
61,29240,221.66,240.578,vmcache,32,500,tpcc,1,94.9942,0,0,0,62738,0,0,7316,74991974,8388608
62,28997,219.609,250.672,vmcache,32,500,tpcc,1,94.9813,0,0,0,63864,0,0,7560,81149472,8388608
