vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3259 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,5709,433.699,434.309,vmcache,32,500,tpcc,64
1,7963,422.086,424.242,vmcache,32,500,tpcc,64
2,9511,423.016,431.684,vmcache,32,500,tpcc,64
3,11243,410.992,422.137,vmcache,32,500,tpcc,64
4,13722,427.523,430.891,vmcache,32,500,tpcc,64
5,14945,419.418,438.574,vmcache,32,500,tpcc,64
6,17459,421.688,429.938,vmcache,32,500,tpcc,64
7,18815,412.332,428.809,vmcache,32,500,tpcc,64
8,20712,402.059,417.035,vmcache,32,500,tpcc,64
9,23171,408.812,427.492,vmcache,32,500,tpcc,64
10,25577,397.5,418.746,vmcache,32,500,tpcc,64
11,27588,386.98,408.754,vmcache,32,500,tpcc,64
12,29271,380.418,407.211,vmcache,32,500,tpcc,64
13,31448,386.75,410.102,vmcache,32,500,tpcc,64
14,32723,391.281,419.18,vmcache,32,500,tpcc,64
15,34122,391.535,419.371,vmcache,32,500,tpcc,64
16,34907,386.523,422.102,vmcache,32,500,tpcc,64
17,35182,382.613,413.57,vmcache,32,500,tpcc,64
18,34755,365.684,396.355,vmcache,32,500,tpcc,64
19,35789,365.879,397.531,vmcache,32,500,tpcc,64
20,35695,367.391,397.156,vmcache,32,500,tpcc,64
21,36978,367.637,399.141,vmcache,32,500,tpcc,64
22,38331,372.125,409.688,vmcache,32,500,tpcc,64
23,38553,367.93,394.684,vmcache,32,500,tpcc,64
24,40545,374.805,410.453,vmcache,32,500,tpcc,64
25,41986,381.805,413.355,vmcache,32,500,tpcc,64
26,40877,369.496,404.664,vmcache,32,500,tpcc,64
27,41888,360.609,404.445,vmcache,32,500,tpcc,64
28,41137,366.398,395.984,vmcache,32,500,tpcc,64
29,44696,371.891,412.656,vmcache,32,500,tpcc,64
30,44533,374.902,413.094,vmcache,32,500,tpcc,64
31,45075,367.074,406.727,vmcache,32,500,tpcc,64
32,45918,366.445,414.07,vmcache,32,500,tpcc,64
33,47447,368.539,406.922,vmcache,32,500,tpcc,64
34,46936,372.082,406.125,vmcache,32,500,tpcc,64
35,46847,357.324,404.75,vmcache,32,500,tpcc,64
36,46786,361.285,395.262,vmcache,32,500,tpcc,64
37,49182,368.336,411.414,vmcache,32,500,tpcc,64
38,50838,370.133,422.117,vmcache,32,500,tpcc,64
39,49971,366.797,402.398,vmcache,32,500,tpcc,64
40,50923,360.156,412.41,vmcache,32,500,tpcc,64
41,51033,366.641,402.824,vmcache,32,500,tpcc,64
42,52332,364.504,409.18,vmcache,32,500,tpcc,64
43,51258,355.363,399.559,vmcache,32,500,tpcc,64
44,52314,359.703,403.246,vmcache,32,500,tpcc,64
45,54114,367.926,412.066,vmcache,32,500,tpcc,64
46,57280,375.602,420.441,vmcache,32,500,tpcc,64
47,55609,366.328,414.992,vmcache,32,500,tpcc,64
48,56255,364.82,403.613,vmcache,32,500,tpcc,64
49,58535,376.5,408.152,vmcache,32,500,tpcc,64
50,58175,376.551,413.16,vmcache,32,500,tpcc,64
51,58941,372.816,409.121,vmcache,32,500,tpcc,64
52,60594,382.559,411.914,vmcache,32,500,tpcc,64
53,62695,386.891,418.766,vmcache,32,500,tpcc,64
54,64805,390.734,415.188,vmcache,32,500,tpcc,64
55,63946,385.02,412.766,vmcache,32,500,tpcc,64
56,62909,379.969,393.836,vmcache,32,500,tpcc,64
57,65460,388.125,405.996,vmcache,32,500,tpcc,64
58,64406,379.043,394.109,vmcache,32,500,tpcc,64
59,65782,384.996,396.039,vmcache,32,500,tpcc,64
60,67418,392.543,408.586,vmcache,32,500,tpcc,64
61,69958,404.246,407.645,vmcache,32,500,tpcc,64
62,70827,403.895,412.059,vmcache,32,500,tpcc,64
63,70521,397.898,396.398,vmcache,32,500,tpcc,64
64,68847,387.043,385.715,vmcache,32,500,tpcc,64
65,69693,394.199,387.445,vmcache,32,500,tpcc,64
66,69716,394.477,382.84,vmcache,32,500,tpcc,64
67,68819,387.352,376.578,vmcache,32,500,tpcc,64
68,71320,400.238,387.508,vmcache,32,500,tpcc,64
69,72132,401.422,393.84,vmcache,32,500,tpcc,64
70,72075,405.059,384.742,vmcache,32,500,tpcc,64
71,71016,399.285,382.117,vmcache,32,500,tpcc,64
72,70363,390.895,379.664,vmcache,32,500,tpcc,64
73,70670,397.414,394.023,vmcache,32,500,tpcc,64
74,70254,391.723,393.391,vmcache,32,500,tpcc,64
75,69065,384.617,391.723,vmcache,32,500,tpcc,64
76,70179,391.07,401.047,vmcache,32,500,tpcc,64
77,70299,393.266,405.719,vmcache,32,500,tpcc,64
78,67637,386.473,401.547,vmcache,32,500,tpcc,64
79,66655,375.164,395.445,vmcache,32,500,tpcc,64
80,65777,366.27,387.914,vmcache,32,500,tpcc,64
81,67766,377.332,388.824,vmcache,32,500,tpcc,64
82,65802,371.535,392.773,vmcache,32,500,tpcc,64
83,67341,375.375,394.445,vmcache,32,500,tpcc,64
84,66507,374.961,390.77,vmcache,32,500,tpcc,64
85,68475,386.891,403.289,vmcache,32,500,tpcc,64
86,67009,372.758,396.652,vmcache,32,500,tpcc,64
87,65439,370.238,381.953,vmcache,32,500,tpcc,64
88,65099,365.781,380.789,vmcache,32,500,tpcc,64
89,66198,372.188,389.434,vmcache,32,500,tpcc,64
90,66342,371.207,389.395,vmcache,32,500,tpcc,64
91,64741,364.195,386.793,vmcache,32,500,tpcc,64
92,66613,372.938,386.234,vmcache,32,500,tpcc,64
93,66878,376.527,394.605,vmcache,32,500,tpcc,64
94,67629,379.648,394.605,vmcache,32,500,tpcc,64
95,65369,365.48,377.48,vmcache,32,500,tpcc,64
96,64624,362.168,379.164,vmcache,32,500,tpcc,64
97,66163,370.547,386.473,vmcache,32,500,tpcc,64
98,66127,369.379,386.371,vmcache,32,500,tpcc,64
99,65147,368.199,385.617,vmcache,32,500,tpcc,64
100,66503,369.566,393.652,vmcache,32,500,tpcc,64
101,67759,379.5,392.668,vmcache,32,500,tpcc,64
