vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=2,batch_sz=512,mode=0] exmap:0
space: 90.3261 GB 
Switching to workload ratios: dr=1 dw=1 nr=1 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,4344,340.488,0,vmcache,32,500,tpcc,512,94.9339,0.55306,1083,6674,15709336,1,556.167,8138,480650336,33554432
1,5571,326.648,0,vmcache,32,500,tpcc,512,94.9543,1.04327,1378,0,0,1,0,9260,324738456,16777216
2,6551,311.078,0,vmcache,32,500,tpcc,512,94.9803,1.50908,1486,0,0,1,0,9166,317647362,16777216
3,6966,293.973,0,vmcache,32,500,tpcc,512,94.8473,2.03001,1535,13676,0,1,547.04,8932,324155064,16777216
4,8200,291.25,0,vmcache,32,500,tpcc,512,94.8826,2.46513,1558,0,0,1,0,8520,275291096,16777216
5,8673,286.043,0,vmcache,32,500,tpcc,512,94.9201,2.89235,1552,0,0,1,0,7722,265880852,16777216
6,9874,282.992,0,vmcache,32,500,tpcc,512,94.9615,3.31545,1460,0,0,1,0,8162,234138574,16777216
7,9893,270.289,0,vmcache,32,500,tpcc,512,94.8848,3.77829,1447,9907,0,1,550.389,8794,256426834,16777216
8,11357,278.656,0,vmcache,32,500,tpcc,512,94.91,4.20499,1372,1619,0,1,539.667,8218,370375792,16777216
9,12519,278.051,0,vmcache,32,500,tpcc,512,94.9573,4.62151,1299,0,0,1,0,7838,210511022,8388608
10,12999,271.621,0,vmcache,32,500,tpcc,512,94.8156,5.12277,1323,15887,0,1,567.393,7376,197069902,8388608
11,14265,274.879,0,vmcache,32,500,tpcc,512,94.8658,5.53525,1168,0,0,1,0,8080,194754144,8388608
12,15901,274.609,0,vmcache,32,500,tpcc,512,94.918,5.94805,1044,0,0,1,0,8380,200626896,8388608
13,16890,272.504,0,vmcache,32,500,tpcc,512,94.9713,6.35828,935,0,0,1,0,7722,198943086,8388608
14,18197,266.73,0,vmcache,32,500,tpcc,512,94.8297,6.85825,826,16424,0,1,586.571,7952,189897966,8388608
15,20368,271.223,0,vmcache,32,500,tpcc,512,94.8885,7.26805,680,0,0,1,0,6342,123945306,8388608
16,21460,270.477,0,vmcache,32,500,tpcc,512,94.9485,7.67704,626,0,0,1,0,6830,156081652,8388608
17,22362,264.555,0,vmcache,32,500,tpcc,512,94.7976,8.18402,560,17892,0,1,577.161,7440,113384670,8388608
18,24047,269.387,0,vmcache,32,500,tpcc,512,94.8623,8.59209,500,0,0,1,0,6920,107902406,8388608
19,24437,266.48,0,vmcache,32,500,tpcc,512,94.9295,8.99548,542,0,0,1,0,7502,62742640,8388608
20,25507,268.535,0,vmcache,32,500,tpcc,512,94.9998,9.4019,560,0,0,1,0,6674,35801462,8388608
21,25272,262.734,0,vmcache,32,500,tpcc,512,94.8455,9.91226,577,18941,0,1,591.906,7338,65757210,8388608
22,26849,268.676,0,vmcache,32,500,tpcc,512,94.9206,10.3186,611,0,0,1,0,6558,30384988,8388608
23,27401,266.883,0,vmcache,32,500,tpcc,512,95.0003,10.7219,626,0,0,1,0,7100,36765998,8388608
24,27954,263.855,0,vmcache,32,500,tpcc,512,94.8576,11.2335,634,18884,0,1,590.125,7218,67173666,8388608
