vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:128 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=128,mode=0] exmap:0
space: 180.62 GB 
Switching to workload ratios: dr=0.7 dw=0.7 nr=0.7 nw=0.7
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,2656,296.395,81.7773,vmcache,32,1000,tpcc,64,94.9796,0.169036,43688,47525,39400291,1,74.2578,12018,390576914,67108864
1,3292,290.727,73.0117,vmcache,32,1000,tpcc,64,94.9925,0.331813,43679,46122,18776,1,74.2705,10856,386755068,67108864
2,3257,279.52,82.2031,vmcache,32,1000,tpcc,64,94.9853,0.484443,41608,42639,21044,1,74.026,12232,419794106,67108864
3,3855,273.664,67.9258,vmcache,32,1000,tpcc,64,94.9771,0.643948,41540,45958,17389,1,74.3657,11812,373103762,33554432
4,3685,264.531,77.6406,vmcache,32,1000,tpcc,64,94.9818,0.7882,39840,40676,19130,1,73.9564,8660,406451058,33554432
5,3745,258.488,68.668,vmcache,32,1000,tpcc,64,94.9898,0.929597,39326,40377,18325,1,74.0862,9792,394113226,33554432
6,3855,254.434,68.5742,vmcache,32,1000,tpcc,64,94.9969,1.07062,38724,40369,17555,1,74.4815,11422,367409806,33554432
7,5106,317.438,94.8242,vmcache,32,1000,tpcc,64,94.9792,1.24644,48353,50731,24275,1,74.3856,10888,392035146,33554432
8,7522,447.504,121.875,vmcache,32,1000,tpcc,64,94.9825,1.49676,68068,72052,31200,1,73.8995,10948,218148418,16777216
9,9264,449.551,121.09,vmcache,32,1000,tpcc,64,94.9809,1.75173,70162,75090,30999,1,74.273,9572,198571060,16777216
10,9818,453.469,133.77,vmcache,32,1000,tpcc,64,95,1.9958,70804,71429,34245,0.999986,74.0965,10218,170700526,16777216
11,10004,444.219,134.707,vmcache,32,1000,tpcc,64,94.9968,2.23912,69521,71426,34112,1.00001,73.4835,10012,188348364,16777216
12,11075,442.477,123.289,vmcache,32,1000,tpcc,64,94.9942,2.48867,70358,74652,31935,1,73.7668,9796,166605140,8388608
13,11920,448.371,125.531,vmcache,32,1000,tpcc,64,94.9771,2.74727,71165,77703,31831,1,73.6521,10132,175688666,8388608
14,12671,448.641,121.484,vmcache,32,1000,tpcc,64,94.9806,3.00416,72188,77830,30950,1,73.9829,10462,145447226,8388608
15,12787,437.543,119.586,vmcache,32,1000,tpcc,64,94.9903,3.25069,70286,74573,31069,1,73.6887,9644,147036260,8388608
16,13263,428.539,122.406,vmcache,32,1000,tpcc,64,94.9994,3.49008,69745,73279,31336,1,73.7213,9566,140836052,8388608
17,13170,402.492,125.492,vmcache,32,1000,tpcc,64,94.9804,3.71436,65763,68602,32126,1,73.6864,10786,149566914,8388608
18,13544,395.953,124.457,vmcache,32,1000,tpcc,64,94.9818,3.92933,65683,66920,31861,1,73.6194,9944,144997248,8388608
19,13444,381.531,117.691,vmcache,32,1000,tpcc,64,94.9874,4.13755,63547,65104,30129,1,73.7305,11076,137700140,8388608
20,8450,220.094,62.6992,vmcache,32,1000,tpcc,64,94.986,4.26303,36724,39359,16051,1,73.8443,11618,625178848,33554432
21,2949,76.3477,24.707,vmcache,32,1000,tpcc,64,94.9894,4.30339,12569,12450,6325,1,73.2353,19344,712778532,33554432
22,2900,75.1289,21.9141,vmcache,32,1000,tpcc,64,94.9983,4.34364,12938,13026,5610,1,72.7709,20922,578183200,33554432
23,2762,69.9531,19.6328,vmcache,32,1000,tpcc,64,94.9948,4.38456,11784,12980,5026,1,72.1111,24314,718105964,67108864
24,2821,69.3633,20.4727,vmcache,32,1000,tpcc,64,94.9866,4.42573,12002,13367,5241,1,73.4451,23384,568747622,33554432
