vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=1,batch_sz=1,mode=0] exmap:0
ycsb load done (tuple=128B), space: 138.059 GB 
Switching to workload ratios: dr=1 dw=1 nr=1 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,78177,314.852,0,vmcache,32,500,ycsb_A,1,94.9995,0.480616,0,0,28222152,0,0,1032,8483140,2097152
1,102161,306.938,0,vmcache,32,500,ycsb_A,1,94.9995,0.948966,0,0,0,0,0,998,6620220,2097152
2,112608,301.59,0,vmcache,32,500,ycsb_A,1,94.9995,1.40916,0,0,0,0,0,1006,5373300,2097152
3,120500,299.438,0,vmcache,32,500,ycsb_A,1,94.9995,1.86606,0,0,0,0,0,1000,5290344,2097152
4,122099,289.301,0,vmcache,32,500,ycsb_A,1,94.9995,2.3075,0,0,0,0,0,988,6128102,2097152
5,129869,285.699,0,vmcache,32,500,ycsb_A,1,94.9995,2.74343,0,0,0,0,0,970,5774676,2097152
6,136319,282.727,0,vmcache,32,500,ycsb_A,1,94.9995,3.17485,0,0,0,0,0,1004,5723096,2097152
7,141169,280.477,0,vmcache,32,500,ycsb_A,1,94.9995,3.60281,0,0,0,0,0,970,6020576,2097152
8,141986,279.25,0,vmcache,32,500,ycsb_A,1,94.9995,4.02892,0,0,0,0,0,978,5897596,2097152
9,148870,278.441,0,vmcache,32,500,ycsb_A,1,94.9995,4.45377,0,0,0,0,0,968,6010906,2097152
10,155925,277.398,0,vmcache,32,500,ycsb_A,1,94.9995,4.87705,0,0,0,0,0,656,5585690,2097152
11,158668,275.254,0,vmcache,32,500,ycsb_A,1,94.9995,5.29707,0,0,0,0,0,676,5613734,2097152
12,162244,275.496,0,vmcache,32,500,ycsb_A,1,94.9995,5.71744,0,0,0,0,0,654,5734588,2097152
13,164360,273.395,0,vmcache,32,500,ycsb_A,1,94.9995,6.1346,0,0,0,0,0,664,6315674,2097152
14,171693,273.711,0,vmcache,32,500,ycsb_A,1,94.9995,6.55226,0,0,0,0,0,670,5974888,2097152
15,177401,273.352,0,vmcache,32,500,ycsb_A,1,94.9995,6.96936,0,0,0,0,0,672,5974384,2097152
16,181493,272.113,0,vmcache,32,500,ycsb_A,1,94.9995,7.38456,0,0,0,0,0,662,5821918,2097152
17,181527,271.676,0,vmcache,32,500,ycsb_A,1,94.9995,7.79912,0,0,0,0,0,662,5942012,2097152
18,186185,271.828,0,vmcache,32,500,ycsb_A,1,94.9995,8.2139,0,0,0,0,0,640,5976674,2097152
19,191867,271.668,0,vmcache,32,500,ycsb_A,1,94.9995,8.62843,0,0,0,0,0,664,5936416,1048576
20,196703,270.988,0,vmcache,32,500,ycsb_A,1,94.9995,9.04192,0,0,0,0,0,656,5441552,1048576
21,198558,271.02,0,vmcache,32,500,ycsb_A,1,94.9995,9.45547,0,0,0,0,0,668,5828844,1048576
22,199102,270.012,0,vmcache,32,500,ycsb_A,1,94.9995,9.86747,0,0,0,0,0,668,6211450,1048576
23,205557,270.77,0,vmcache,32,500,ycsb_A,1,94.9995,10.2806,0,0,0,0,0,660,5667616,1048576
24,209932,270.539,0,vmcache,32,500,ycsb_A,1,94.9995,10.6934,0,0,0,0,0,648,5891972,1048576
25,214931,270.277,0,vmcache,32,500,ycsb_A,1,94.9995,11.1058,0,0,0,0,0,664,6403710,1048576
26,214775,269.918,0,vmcache,32,500,ycsb_A,1,94.9995,11.5177,0,0,0,0,0,654,6275888,1048576
27,220161,270.426,0,vmcache,32,500,ycsb_A,1,94.9995,11.9304,0,0,0,0,0,656,5902992,1048576
28,221073,270.227,0,vmcache,32,500,ycsb_A,1,94.9995,12.3427,0,0,0,0,0,660,5414826,1048576
29,225037,269.875,0,vmcache,32,500,ycsb_A,1,94.9995,12.7545,0,0,0,0,0,666,5450220,1048576
30,230825,270.082,0,vmcache,32,500,ycsb_A,1,94.9995,13.1666,0,0,0,0,0,666,5407388,1048576
31,231191,269.824,0,vmcache,32,500,ycsb_A,1,94.9995,13.5783,0,0,0,0,0,662,5616512,1048576
32,233702,269.574,0,vmcache,32,500,ycsb_A,1,94.9995,13.9896,0,0,0,0,0,652,5824254,1048576
33,237966,269.633,0,vmcache,32,500,ycsb_A,1,94.9995,14.4011,0,0,0,0,0,648,5254316,1048576
34,241175,269.227,0,vmcache,32,500,ycsb_A,1,94.9995,14.8119,0,0,0,0,0,664,5978598,1048576
35,243913,270.176,0,vmcache,32,500,ycsb_A,1,94.9995,15.2241,0,0,0,0,0,646,5622118,1048576
36,246911,269.621,0,vmcache,32,500,ycsb_A,1,94.9995,15.6356,0,0,0,0,0,664,5162142,1048576
37,249672,269.707,0,vmcache,32,500,ycsb_A,1,94.9995,16.0471,0,0,0,0,0,658,5905470,1048576
38,252166,269.742,0,vmcache,32,500,ycsb_A,1,94.9995,16.4587,0,0,0,0,0,666,5802692,1048576
39,253526,269.301,0,vmcache,32,500,ycsb_A,1,94.9995,16.8696,0,0,0,0,0,670,6633550,1048576
40,260022,270.121,0,vmcache,32,500,ycsb_A,1,94.9995,17.2818,0,0,0,0,0,634,5245834,1048576
41,256087,264.27,0,vmcache,32,500,ycsb_A,1,94.9995,17.685,0,0,0,0,0,638,6426480,1048576
42,255894,263.984,0,vmcache,32,500,ycsb_A,1,94.9995,18.0878,0,0,0,0,0,658,5861260,1048576
43,258468,263.266,0,vmcache,32,500,ycsb_A,1,94.9995,18.4895,0,0,0,0,0,668,5752160,1048576
44,265610,264.117,0,vmcache,32,500,ycsb_A,1,94.9995,18.8926,0,0,0,0,0,660,5386762,1048576
45,264913,263.605,0,vmcache,32,500,ycsb_A,1,94.9995,19.2948,0,0,0,0,0,664,5058754,1048576
46,269174,264.004,0,vmcache,32,500,ycsb_A,1,94.9995,19.6976,0,0,0,0,0,640,5135156,1048576
47,271476,264.527,0,vmcache,32,500,ycsb_A,1,94.9995,20.1013,0,0,0,0,0,652,5326556,1048576
48,271324,264.621,0,vmcache,32,500,ycsb_A,1,94.9995,20.505,0,0,0,0,0,658,5558072,1048576
49,277106,264.113,0,vmcache,32,500,ycsb_A,1,94.9995,20.908,0,0,0,0,0,648,5180300,1048576
